source,target,relation
"深部咸水层","技术方法","应用于"
"深部咸水层","探工程","应用于"
"深部咸水层","氧化碳地质储存示范工程","应用于"
"深部咸水层","氧化碳地质储存选址和灌注工程","应用于"
"深部咸水层","中国世纪议程管理中心","开发者"
"深部咸水层","我国油气藏和深部","开发者"
"深部咸水层","韩国深部","开发者"
"深部咸水层","中国深部","开发者"
"技术方法","吉林","位于"
"技术方法","长春","位于"
"技术方法","鄂尔多斯","位于"
"技术方法","北京","位于"
"计划项目","环境与资源学院","投资方"
"计划项目","河北","位于"
"计划项目","保定","位于"
"计划项目","北京","位于"
"计划项目","吉林","位于"
"计划项目","长春","位于"
"河北","保定","包含"
"河北","北京","包含"
"河北","吉林","包含"
"河北","长春","包含"
"河北","内蒙古","包含"
"保定","北京","包含"
"保定","吉林","包含"
"保定","长春","包含"
"北京","吉林","包含"
"北京","长春","包含"
"北京","河北","包含"
"吉林","长春","包含"
"吉林","北京","包含"
"长春","吉林","包含"
"计划","环境与资源学院","投资方"
"计划","河北","位于"
"计划","保定","位于"
"计划","北京","位于"
"计划","吉林","位于"
"计划","长春","位于"
"计划","有计划地设置","应用于"
"计划","有计划","应用于"
"内蒙古","鄂尔多斯","包含"
"内蒙古","伊金霍洛旗","包含"
"内蒙古","量建设鄂尔多","位于"
"内蒙古","建设鄂尔多","应用于"
"内蒙古","设鄂尔多","合作伙伴"
"内蒙古","吉林","包含"
"内蒙古","河北","包含"
"内蒙古","于巴彦淖尔 ","应用于"
"鄂尔多斯","伊金霍洛旗","包含"
"鄂尔多斯","内蒙古","包含"
"鄂尔多斯","吉林","包含"
"鄂尔多斯","鄂尔多","包含"
"神华集","团合作，","应用于"
"神华集","团合作，在内蒙古鄂尔","包含"
"神华集","神华集团合作，","开发者"
"中国地质调查局水","团合作，在内蒙古鄂尔","合作伙伴"
"神华集团合作，在","神华集","应用于"
"神华集团合作，在","团合作，","应用于"
"神华","神华集","开发者"
"神华集团","团合作，","合作伙伴"
"神华集团","神华集团合作，","应用于"
"这些目标靶区","这些目标靶区分布在个盆地","包含"
"这些目标靶区","鄂尔多斯","包含"
"这些目标靶区分布在个盆地","鄂尔多斯","包含"
"范 霍"," 鄂尔多","合作伙伴"
"术体"," 鄂尔多","开发者"
"术体系，可"," 鄂尔多","合作伙伴"
"些目标靶区分"," 鄂尔多","合作伙伴"
" 图 松辽盆地二"," 鄂尔多","应用于"
"松辽盆地二"," 鄂尔多","开发者"
"目标"," 鄂尔多","位于"
"目标靶区分布"," 鄂尔多","合作伙伴"
"氧化碳地质储存示范工程","鄂尔多斯","位于"
" 通过","高了对","位于"
"多斯深部咸","了对鄂尔","位于"
"多斯深部咸","通过示范工程","应用于"
"多斯深部咸","通过","开发者"
"通过","了对鄂尔","位于"
"通过","提高了对","开发者"
"通过","了对","包含"
"通过","践，提高","应用于"
"通过","提高","合作伙伴"
"通过","践，提高了对","开发者"
"通过","提高了对鄂尔","包含"
"提高了对鄂尔多斯深","提高了对","开发者"
"氧化碳地质储存选址和灌注工程","和鄂尔多斯盆地等典型地区","位于"
"氧化碳地质储存选址和灌注工程","鄂尔多斯","位于"
